FECHA;IDENTIFICACION;ID_POST;TITULAR;COMENTARIOS;ARCHIVO
31/05/2021;59;posts/3587629651336956;Hoy se distribuyen entre las #CCAA más de 1.700.000 nuevas dosis de #VacunaCOVID19 de #Pfizer/BioNTech ;1700;20210531b-SinProcesar.csv
02/06/2021;60;posts/3594076634025591;Hoy se distribuyen a las Comunidades y Ciudades Autónomas más de 1,1 millón de dosis de la #VacunaCOVID19 para seguir avanzando en la vacunación: Más de 850.000 dosis de Pfizer/BioNTech y Más de 344.000 dosis de Janssen;1500;20210602-SinProcesar.csv
07/06/2021;61;posts/3607822925984295;Hoy se distribuyen entre las Comunidades y Ciudades autónomas más de 1,6 millones de vacunas contra la #COVID19: Más de 1,3 millones de dosis de #Pfizer/BioNTech y Más de 313.000 dosis de #Moderna ;1600;20210607-SinProcesar.csv
09/06/2021;62;posts/3612805955485992;Hoy se distribuyen más de 1.100.000 nuevas dosis de #VacunaCOVID19 de #Pfizer/BioNTech entre las Comunidades Autónomas.;1800;20210609-SinProcesar.csv
15/06/2021;63;posts/3629668013799786;Más de 13 millones de personas cuentan ya con la pauta completa de vacunación frente a la #COVID19 en nuestro país. El 27,4% de la población ha completado la vacunación. El 45,8% cuenta con, al menos, una dosis de #VacunaCOVID19  ;1200;20210615-SinProcesar.csv
21/06/2021;64;posts/3643723515727569;Hoy se distribuyen entre las ciudades y comunidades autónomas más de 1,6 millones de dosis de la vacuna contra la #COVID19 de Pfizer/BioNTech;1800;20210621a-SinProcesar.csv
21/06/2021;65;posts/3643734742393113;España supera los 14 millones de personas con la pauta completa de vacunación frente a la #COVID19 ;184;20210621b-SinProcesar.csv
22/06/2021;66;posts/3646726958760558;Hoy llega a las comunidades y ciudades autónomas un nuevo envío de más de 500.000 dosis de #VacunaCOVID19 de #AstraZeneca ;1400;20210622-SinProcesar.csv
23/06/2021;67;posts/3649459111820676;Hoy se distribuye entre las comunidades y ciudades autónomas un nuevo envío con más de 1.390.000 nuevas dosis de la vacuna frente a la #COVID19 de Pfizer/BioNTech ;1100;20210623-SinProcesar.csv
02/07/2021;68;posts/3673540799412507;Hoy se distribuyen más de 3.229.000 nuevas dosis de #VacunaCOVID19 entre las ciudades y comunidades autónomas. Más de 2.850.000 dosis de AstraZeneca, 379.000 dosis de Janssen. Esta semana se han recibido más de 6,6 millones de vacunas contra la #COVID19 ;;20210702-SinProcesar.csv
